student_id,name,age,gender,attendance_rate,time_spent_hours,quiz_avg_score,assignments_completed,forum_posts,badges_earned,final_exam_score,final_grade,dropout_risk,feedback_text,sentiment
1,Suresh Verma,24,Male,0.85,37.93,0.83,9,18,6,78.2,B,0,Great course and very helpful,Positive
2,Vijay Patel,25,Male,1,51.51,0.61,6,20,0,71.31,B,0,Helped me improve a lot,Positive
3,Meena Verma,25,Female,0.8,11.3,0.36,5,41,2,47.45,D,0,Very confusing content,Negative
4,Vijay Nair,29,Female,0.78,39.48,0.93,9,20,8,71.67,B,0,Excellent platform for learning,Positive
5,Priya Sharma,28,Male,0.63,35.62,0.58,9,43,7,70.29,B,0,Very engaging and informative,Positive
6,Vijay Verma,21,Female,0.91,21.69,0.74,4,3,5,48.64,D,0,Not useful at all,Negative
7,Sneha Nair,20,Female,0.31,24.34,0.73,9,7,6,48.09,D,0,Poor explanations,Negative
8,Sneha Verma,29,Male,0.86,40.38,0.79,9,23,9,74.47,B,0,Helped me improve a lot,Positive
9,Arun Sharma,18,Female,0.77,46.29,0.51,7,0,8,49.42,D,0,Very confusing content,Negative
10,Kavya Iyer,30,Female,0.87,53.32,0.88,7,41,6,82.14,B,0,Excellent platform for learning,Positive
11,Divya Das,18,Male,0.88,43.62,0.67,3,47,6,73.45,B,0,Helped me improve a lot,Positive
12,Divya Nair,22,Male,0.53,22.06,0.86,5,34,0,64.69,C,0,Nothing special,Neutral
13,Priya Kumar,29,Male,0.82,38.78,0.79,9,13,6,71.34,B,0,Helped me improve a lot,Positive
14,Meena Gupta,27,Female,0.72,25.52,0.73,3,31,3,57.24,C,0,Average experience,Neutral
15,Meena Iyer,23,Male,0.71,45.36,1,6,12,6,66.18,C,0,Nothing special,Neutral
16,Vijay Singh,28,Female,0.59,32.47,0.88,6,43,3,66.84,C,0,Okay course,Neutral
17,Ravi Nair,25,Male,0.77,54.53,0.56,3,26,8,57.37,C,0,Okay course,Neutral
18,Priya Gupta,28,Female,0.81,43.92,0.7,3,36,0,63.11,C,0,Can be improved,Neutral
19,Ravi Verma,22,Female,0.68,27.97,0.67,3,48,0,60.71,C,0,Can be improved,Neutral
20,Anjali Sharma,26,Female,0.58,27.66,0.92,7,48,7,72.16,B,0,Helped me improve a lot,Positive
21,Divya Nair,23,Male,0.77,33.51,0.57,7,31,0,60.12,C,0,Nothing special,Neutral
22,Ravi Nair,25,Male,1,55.99,0.2,8,31,6,68.8,C,0,Nothing special,Neutral
23,Divya Sharma,25,Female,0.98,51.28,0.86,7,33,5,74.51,B,0,Loved the teaching style,Positive
24,Ravi Gupta,26,Male,0.99,34.16,0.61,5,5,2,62.72,C,0,Can be improved,Neutral
